Date,Time,Ping (ms),Download (Mbit/s),Upload (Mbit/s)
05/21/18,13:30,88.882,0.75,0.75,69.8
05/21/18,14:00,89.264,0.71,0.76,69.8
05/21/18,14:30,85.866,2.84,0.76,69.8
05/21/18,15:00,53.7,2.72,0.79,70.9
05/21/18,15:30,54.151,2.87,0.76,69.8
05/21/18,16:00,145.393,2.80,0.75,69.8
05/21/18,16:30,46.013,2.70,1.06,70.4
05/21/18,17:30,46.098,2.78,1.09,70.4
05/21/18,18:00,84.376,2.77,1.13,69.8
05/21/18,18:30,85.976,2.72,1.09,68.8
05/21/18,19:00,87.114,2.72,1.07,69.8
05/21/18,19:30,42.012,2.78,1.09,70.4
05/21/18,20:00,140.766,2.67,1.09,48.3
05/21/18,20:11,39.405,1.20,0.98,49.4
05/21/18,20:30,39.404,2.58,1.08,55.8
05/21/18,21:00,55.35,1.92,0.96,56.9
05/21/18,21:30,45.262,2.22,1.08,56.9
05/21/18,22:00,78.835,2.24,0.94,56.9
05/21/18,22:30,203.474,2.10,1.02,56.9
05/21/18,23:00,82.623,2.23,1.02,57.5
05/21/18,23:30,39.134,2.44,1.09,55.8
05/22/18,00:00,52.321,1.85,0.79,55.3
05/22/18,00:30,54.402,2.76,0.77,55.8
05/22/18,01:00,94.752,2.65,0.84,55.3
05/22/18,01:30,46.255,2.80,0.78,55.3
05/22/18,02:00,106.481,2.71,0.81,55.8
05/22/18,02:30,98.076,2.68,0.79,54.2
05/22/18,03:00,94.439,2.69,0.77,54.8
05/22/18,03:30,46.361,2.78,0.79,55.8
05/22/18,04:00,160.832,1.09,0.73,55.3
05/22/18,04:30,46.187,2.78,0.79,54.8
05/22/18,05:00,53.566,2.40,0.75,54.8
05/22/18,05:30,52.43,2.68,0.78,54.8
05/22/18,06:00,68.964,2.33,0.77,54.8
05/22/18,06:30,46.362,2.79,0.79,53.7
05/22/18,07:00,91.129,2.69,0.82,56.4
05/22/18,07:30,46.301,2.80,0.76,54.2
05/22/18,08:00,85.032,2.76,0.79,55.3
05/22/18,08:30,45.768,2.81,0.79,55.8
05/22/18,09:00,62.092,2.44,0.79,54.2
05/22/18,09:30,75.017,0.66,0.77,54.2
05/22/18,10:00,96.469,0.72,0.80,54.8
05/22/18,10:30,86.3,0.69,0.77,55.8
05/22/18,11:00,95.409,0.71,0.80,55.3
05/22/18,11:30,53.957,2.76,0.77,55.8
05/22/18,12:00,69.382,2.41,0.78,56.4
05/22/18,12:30,46.189,2.77,0.80,54.8
05/22/18,13:00,85.401,2.76,0.66,55.8
05/22/18,13:30,53.965,2.63,0.79,56.4
05/22/18,14:00,54.562,2.56,0.79,55.3
05/22/18,14:30,98.253,2.73,0.80,55.3
05/22/18,15:00,112.694,2.68,0.51,55.8
05/22/18,15:30,46.408,2.77,0.81,55.8
05/22/18,16:00,53.44,2.06,0.80,55.8
05/22/18,16:30,54.202,2.75,0.78,56.4
05/22/18,17:00,87.744,2.74,0.85,56.9
05/22/18,17:30,46.0,2.75,0.79,55.3
05/22/18,18:00,88.613,2.69,0.77,56.4
05/22/18,18:30,46.222,2.82,0.79,56.9
05/22/18,19:00,77.31,2.29,0.76,56.4
05/22/18,19:30,91.358,0.72,0.71,56.9
05/22/18,20:00,86.846,0.74,0.77,56.4
05/22/18,20:30,53.084,2.79,0.76,57.5
05/22/18,21:00,99.007,2.05,0.77,55.8
05/22/18,21:31,772.486,0.20,0.64,55.8
05/22/18,22:00,94.836,2.66,0.78,55.8
05/22/18,22:30,53.104,2.60,0.78,56.9
05/22/18,23:00,95.167,2.68,0.77,56.4
05/22/18,23:30,87.497,2.47,0.80,56.4
05/23/18,00:00,96.71,2.64,0.84,55.3
05/23/18,00:30,46.406,2.43,0.77,56.4
05/23/18,01:00,102.538,2.73,0.79,56.4
05/23/18,01:30,119.801,2.66,0.75,55.8
05/23/18,02:00,59.397,2.05,0.78,54.8
05/23/18,02:30,58.619,2.76,0.77,56.4
05/23/18,03:00,91.188,2.75,0.85,55.8
05/23/18,03:30,118.149,2.72,0.79,55.8
05/23/18,04:00,93.867,2.75,0.77,54.8
05/23/18,04:30,49.414,2.80,0.79,54.8
05/23/18,05:00,121.619,2.73,0.81,55.8
05/23/18,05:30,117.773,2.81,0.74,54.8
05/23/18,06:30,95.693,2.70,0.82,55.8
05/23/18,07:00,50.624,2.44,0.76,55.8
05/23/18,07:30,51.466,2.84,0.77,54.8
05/23/18,08:00,86.155,2.46,0.77,55.3
05/23/18,08:30,49.616,2.83,0.80,55.8
05/23/18,09:00,93.618,2.83,0.81,54.8
05/23/18,09:30,114.85,0.64,1.09,55.8
05/23/18,10:00,83.855,0.72,1.03,53.7
05/23/18,10:30,82.075,0.67,1.06,55.8
05/23/18,11:00,77.364,0.70,1.06,55.8
05/23/18,11:30,38.81,2.77,1.10,55.8
05/23/18,12:00,39.174,2.77,1.07,55.8
05/23/18,12:30,156.85,2.20,1.04,56.4
05/23/18,13:00,88.228,2.39,1.13,56.4
05/23/18,13:30,44.225,2.73,1.06,55.8
05/23/18,14:00,50.11,2.43,1.07,55.8
05/23/18,14:30,50.138,2.74,1.06,55.8
05/23/18,15:00,83.47,2.70,1.12,55.8
05/23/18,15:30,38.995,2.79,1.06,55.8
05/23/18,16:00,39.944,2.72,1.07,56.4
05/23/18,16:30,38.793,2.35,1.08,55.8
05/23/18,17:00,38.959,2.40,1.07,56.4
05/23/18,17:30,40.609,2.73,1.05,55.8
05/23/18,18:00,75.421,2.76,1.15,55.8
05/23/18,18:30,85.312,2.71,1.13,55.8
05/23/18,19:00,98.224,2.62,1.09,56.4
05/23/18,21:30,76.113,2.70,0.92,55.8
05/23/18,22:00,83.795,1.82,0.97,56.9
05/23/18,22:30,267.205,1.22,0.99,56.9
05/23/18,23:00,247.248,1.80,1.01,56.9
05/23/18,23:30,219.041,2.25,0.94,56.9
05/24/18,00:00,300.431,1.99,1.00,56.9
05/24/18,00:30,196.839,1.89,0.92,56.9
05/24/18,01:00,82.558,2.60,1.12,55.8
05/24/18,01:30,43.348,2.76,1.08,58.5
05/24/18,02:00,82.513,2.50,1.05,56.4
05/24/18,02:30,38.894,2.77,1.05,55.8
05/24/18,03:00,46.042,1.90,1.04,55.8
05/24/18,03:30,46.62,2.79,1.07,56.9
05/24/18,04:00,78.391,2.77,1.13,55.8
05/24/18,04:30,39.206,2.79,1.08,58.0
05/24/18,05:00,45.861,2.25,1.08,55.8
05/24/18,05:30,38.956,2.78,1.07,54.8
05/24/18,06:00,86.792,2.74,1.10,56.9
05/24/18,06:30,39.133,2.76,1.06,55.8
05/24/18,07:00,97.557,2.73,1.06,55.8
05/24/18,07:30,38.706,2.74,1.10,54.8
05/24/18,08:00,89.246,2.66,1.12,55.8
05/24/18,08:30,128.005,2.75,1.06,55.8
05/24/18,09:00,39.353,2.75,1.07,55.3
05/24/18,09:30,80.007,0.72,1.12,56.4
05/24/18,10:00,142.814,0.68,1.07,55.8
05/24/18,10:30,81.793,0.74,1.09,55.3
05/24/18,11:00,80.16,0.72,1.04,56.9
05/24/18,11:30,41.125,2.75,0.98,55.8
05/24/18,12:00,84.231,2.68,1.09,55.8
05/24/18,12:30,45.827,2.76,1.07,56.4
05/24/18,13:00,81.017,2.74,1.13,56.9
05/24/18,13:30,72.135,2.62,1.07,55.8
05/24/18,14:00,39.374,2.40,1.06,56.4
05/24/18,14:30,41.902,2.73,1.08,56.4
05/24/18,15:00,82.088,2.54,1.13,55.8
05/24/18,15:30,38.716,2.77,1.08,57.5
05/24/18,16:00,39.251,1.65,1.08,57.5
05/24/18,16:30,40.427,2.76,1.07,55.8
05/24/18,17:00,40.695,1.56,1.07,58.0
05/24/18,17:30,39.26,2.50,1.06,58.0
05/24/18,18:00,112.724,2.02,0.92,58.0
05/24/18,18:30,254.496,2.05,0.98,56.9
05/24/18,19:00,266.43,1.78,1.00,58.0
05/24/18,19:30,190.358,1.87,0.92,58.0
05/24/18,20:00,239.55,1.53,0.93,58.0
05/24/18,20:30,95.837,2.71,1.08,58.0
05/24/18,21:00,98.961,2.33,0.77,59.1
05/24/18,21:30,136.526,2.18,0.94,58.5
05/24/18,22:00,75.573,2.68,1.07,46.2
05/24/18,22:30,40.179,2.79,1.06,58.0
05/24/18,23:00,75.119,2.42,1.10,56.9
05/24/18,23:30,51.478,2.14,1.09,55.8
05/25/18,00:00,144.039,2.68,1.03,56.9
05/25/18,00:30,39.063,2.74,1.09,56.9
05/25/18,01:00,97.353,2.76,1.11,56.9
05/25/18,01:30,53.266,2.45,1.06,56.9
05/25/18,02:00,57.244,2.42,1.06,56.9
05/25/18,02:30,52.442,2.75,1.08,56.4
05/25/18,03:00,104.195,2.72,1.12,56.9
05/25/18,03:30,43.648,2.75,1.06,56.9
05/25/18,04:00,115.626,2.70,1.13,54.8
05/25/18,04:30,46.427,2.71,1.08,55.8
05/25/18,05:00,91.001,2.68,1.10,56.4
05/25/18,05:30,41.077,2.73,1.08,54.8
05/25/18,06:00,87.032,1.89,0.95,55.3
05/25/18,06:30,39.805,2.77,1.03,55.8
05/25/18,07:00,85.878,2.70,1.09,55.3
05/25/18,07:30,45.329,2.66,1.06,54.8
05/25/18,08:00,170.778,2.73,1.05,55.8
05/25/18,08:30,45.754,2.79,1.07,55.8
05/25/18,09:00,86.206,2.73,1.07,55.8
05/25/18,09:30,86.377,0.65,1.11,55.8
05/25/18,10:00,76.559,0.68,1.07,55.8
05/25/18,10:30,78.11,0.68,1.05,54.8
05/25/18,11:00,84.573,0.68,1.08,56.4
05/25/18,11:30,39.362,2.45,1.08,55.8
05/25/18,12:00,84.967,2.64,1.10,56.4
05/25/18,12:30,39.645,2.75,1.09,56.4
05/25/18,13:00,124.645,2.74,1.03,55.8
05/25/18,13:30,38.985,2.76,1.04,54.8
05/25/18,14:00,84.601,2.73,1.07,55.8
05/25/18,14:30,41.388,2.78,1.10,55.8
05/25/18,15:00,71.831,1.99,1.07,56.4
05/25/18,15:30,140.841,2.70,1.06,56.4
05/25/18,16:00,85.96,2.62,1.06,56.4
05/25/18,16:30,45.026,2.76,1.07,55.3
05/25/18,17:00,45.117,2.74,1.08,55.8
05/25/18,17:30,100.798,2.72,1.09,57.5
05/25/18,18:00,50.633,2.39,1.08,55.8
05/25/18,18:30,47.377,2.15,1.05,56.4
05/25/18,19:00,98.78,2.70,1.04,56.9
05/25/18,20:00,46.685,2.35,1.06,55.8
05/25/18,20:30,44.874,2.75,1.05,56.4
05/25/18,21:00,46.172,2.55,1.08,56.9
05/25/18,21:30,45.166,2.71,1.08,56.9
05/25/18,22:00,45.233,2.74,1.08,56.4
05/25/18,22:30,195.435,2.67,1.02,49.9
05/25/18,23:00,85.352,2.62,1.11,58.0
05/25/18,23:30,106.993,2.65,1.04,56.9
05/26/18,00:00,44.752,2.74,1.07,56.9
05/26/18,00:30,54.07,2.48,1.08,57.5
05/26/18,01:00,113.604,2.70,1.11,58.0
05/26/18,01:30,87.779,2.64,1.05,57.5
05/26/18,02:00,86.488,2.64,1.05,56.9
05/26/18,02:30,39.001,2.76,1.04,55.8
05/26/18,03:00,83.026,2.65,1.13,56.4
05/26/18,03:30,46.828,2.76,1.06,55.3
05/26/18,04:00,85.448,2.68,1.09,55.8
05/26/18,04:30,46.426,2.76,1.05,56.4
05/26/18,05:00,46.358,1.43,1.07,56.9
05/26/18,05:30,50.06,2.22,1.07,54.8
05/26/18,06:00,45.915,2.16,1.02,55.8
05/26/18,06:30,45.746,2.73,1.07,55.8
05/26/18,07:00,47.816,1.66,0.97,54.8
05/26/18,07:30,45.447,2.79,1.06,56.9
05/26/18,08:00,79.363,2.71,1.07,56.9
05/26/18,08:30,44.502,2.75,1.01,55.3
05/26/18,09:00,46.025,1.44,1.07,55.3
05/26/18,09:30,45.112,2.77,1.08,56.4
05/26/18,10:00,75.877,2.69,1.14,55.8
05/26/18,10:30,80.588,2.55,1.07,56.4
05/26/18,11:00,85.24,2.63,1.12,56.4
05/26/18,11:30,55.198,2.56,1.02,56.4
05/26/18,12:00,125.244,2.73,1.06,56.4
05/26/18,12:30,39.488,2.76,1.07,56.4
05/26/18,13:00,77.46,2.25,1.10,56.9
05/26/18,13:30,53.818,1.98,1.04,56.4
05/26/18,14:00,59.024,2.24,1.06,55.8
05/26/18,14:30,45.945,2.06,1.05,55.8
05/26/18,15:00,92.117,2.43,1.07,56.4
05/26/18,15:30,45.524,2.41,1.08,57.5
05/26/18,16:00,85.383,0.47,1.05,55.8
05/26/18,16:30,86.478,0.44,1.00,57.5
05/26/18,17:00,45.565,2.04,1.07,58.5
05/26/18,17:30,45.496,2.81,1.08,58.0
05/26/18,18:00,112.548,2.71,1.11,58.0
05/26/18,18:30,45.322,2.62,1.04,57.5
05/26/18,19:00,86.995,0.68,1.04,58.0
05/26/18,19:30,78.948,0.66,1.02,58.0
05/26/18,20:00,46.765,2.77,1.06,58.0
05/26/18,20:30,46.703,2.66,1.00,59.1
05/26/18,21:00,136.351,2.69,1.08,56.9
05/26/18,21:30,105.824,2.80,1.05,56.9
05/26/18,22:00,75.441,2.75,1.12,58.0
05/26/18,22:30,86.684,2.70,1.10,58.0
05/26/18,23:00,106.387,2.73,1.08,58.0
05/26/18,23:30,39.727,2.80,1.06,56.9
05/27/18,00:00,39.576,2.55,1.07,57.5
05/27/18,00:30,79.629,2.73,1.13,56.4
05/27/18,01:00,79.355,2.74,1.05,56.9
05/27/18,01:30,39.819,2.81,1.05,58.0
05/27/18,02:00,39.708,2.39,1.09,56.9
05/27/18,02:30,45.352,2.80,1.05,58.5
05/27/18,03:00,46.571,2.73,1.03,56.9
05/27/18,03:30,148.173,2.65,1.08,57.5
05/27/18,04:00,107.315,2.75,1.03,58.0
05/27/18,04:30,44.717,2.83,0.72,56.4
05/27/18,05:00,168.703,2.69,0.74,56.9
05/27/18,05:30,45.51,2.82,0.74,56.4
05/27/18,06:00,53.018,2.56,0.71,56.4
05/27/18,06:30,110.741,2.79,0.79,55.8
05/27/18,07:00,94.508,2.65,0.84,58.0
05/27/18,07:30,54.177,2.43,0.79,57.5
05/27/18,08:00,124.934,2.79,0.73,56.4
05/27/18,08:30,103.565,0.70,0.72,56.4
05/27/18,09:00,104.309,0.72,0.73,56.9
05/27/18,09:30,89.574,0.72,0.83,58.0
05/27/18,10:00,95.55,0.70,0.75,58.0
05/27/18,10:30,90.45,0.71,0.65,56.9
